city,temperature,humidity,pressure,wind,precipitation,date
Tunis,14.99,77,1021,3.6,0,2025-03-06 09:16:28
Ariana,15.0,77,1021,3.6,0,2025-03-06 09:16:28
Ben Arous,14.6,81,1021,8.33,0,2025-03-06 09:16:28
Manouba,13.32,85,1021,6.47,0,2025-03-06 09:16:28
Nabeul,14.79,84,1022,10.69,0,2025-03-06 09:16:28
Zaghouan,11.22,92,1021,7.92,0,2025-03-06 09:16:28
Bizerte,13.54,81,1021,9.71,0,2025-03-06 09:16:28
Beja,11.96,93,1020,6.75,0,2025-03-06 09:16:28
Jendouba,11.9,86,1019,6.15,0,2025-03-06 09:16:28
Kef,10.98,82,1019,6.76,0,2025-03-06 09:16:28
Siliana,8.93,94,1020,7.0,0,2025-03-06 09:16:28
Kasserine,9.61,97,1019,7.61,0,2025-03-06 09:16:28
Sidi Bouzid,12.81,84,1019,9.77,0,2025-03-06 09:16:28
Kairouan,14.29,82,1020,5.84,0,2025-03-06 09:16:28
Kébili,18.83,48,1013,9.53,0,2025-03-06 09:16:28
Tozeur,17.12,61,1015,13.05,0,2025-03-06 09:16:29
Gabès,16.62,70,1016,11.06,0,2025-03-06 09:16:29
Medenine,16.85,61,1018,9.05,0,2025-03-06 09:16:29
Tataouine,18.6,43,1014,10.19,0,2025-03-06 09:16:29
Mahdia,15.5,80,1021,8.4,0,2025-03-06 09:16:29
Monastir,15.91,82,1021,10.8,0,2025-03-06 09:16:29
Sousse,15.97,82,1021,10.8,0,2025-03-06 09:16:29
Sfax,15.52,82,1020,9.22,0,2025-03-06 09:16:29
Gafsa,13.5,76,1017,10.35,0,2025-03-06 09:16:29
