city,temperature,humidity,pressure,wind,precipitation,date
Tunis,24.99,61,1020,2.57,0,2025-08-05 07:23:26
Ariana,25.0,61,1020,2.57,0,2025-08-05 07:23:26
Ben Arous,24.6,62,1020,2.98,0,2025-08-05 07:23:26
Manouba,24.96,61,1020,2.16,0,2025-08-05 07:23:26
Nabeul,25.04,64,1019,5.14,0,2025-08-05 07:23:26
Zaghouan,22.95,55,1020,2.43,0,2025-08-05 07:23:26
Bizerte,24.99,73,1019,4.63,0,2025-08-05 07:23:27
Beja,25.17,54,1020,1.18,0,2025-08-05 07:23:27
Jendouba,21.13,53,1021,1.1,0,2025-08-05 07:23:27
Kef,22.14,50,1021,1.18,0,2025-08-05 07:23:27
Siliana,21.75,39,1021,1.8,0,2025-08-05 07:23:27
Kasserine,22.52,49,1021,0.76,0,2025-08-05 07:23:27
Sidi Bouzid,24.15,54,1020,0.5,0,2025-08-05 07:23:27
Kairouan,25.01,57,1020,1.03,0,2025-08-05 07:23:27
Kébili,26.46,51,1019,5.83,0,2025-08-05 07:23:27
Tozeur,28.25,44,1018,5.66,0,2025-08-05 07:23:27
Gabès,26.96,65,1019,4.99,0,2025-08-05 07:23:27
Medenine,26.16,56,1019,3.16,0,2025-08-05 07:23:27
Tataouine,25.35,44,1018,7.99,0,2025-08-05 07:23:28
Mahdia,25.15,54,1019,3.94,0,2025-08-05 07:23:28
Monastir,25.91,61,1019,3.09,0,2025-08-05 07:23:28
Sousse,25.97,61,1019,3.09,0,2025-08-05 07:23:28
Sfax,25.57,53,1019,2.74,0,2025-08-05 07:23:28
Gafsa,25.13,57,1020,5.66,0,2025-08-05 07:23:28
