city,temperature,humidity,pressure,wind,precipitation,date
Tunis,13.99,67,1012,4.63,0.4,2025-11-26 10:19:57
Ariana,14.0,67,1012,4.63,0.12,2025-11-26 10:19:57
Ben Arous,13.6,74,1012,8.19,0.4,2025-11-26 10:19:57
Manouba,10.54,72,1013,5.69,0.51,2025-11-26 10:19:57
Nabeul,16.02,54,1011,9.44,0.0,2025-11-26 10:19:58
Zaghouan,11.15,68,1012,11.86,0.0,2025-11-26 10:19:58
Bizerte,10.99,93,1012,7.2,0.6,2025-11-26 10:19:58
Beja,10.12,79,1013,2.88,0.0,2025-11-26 10:19:58
Jendouba,11.13,82,1014,3.88,0.25,2025-11-26 10:19:58
Kef,10.36,57,1013,8.05,0.1,2025-11-26 10:19:58
Siliana,9.87,58,1012,10.39,0.0,2025-11-26 10:19:58
Kasserine,12.13,43,1012,7.42,0.0,2025-11-26 10:19:58
Sidi Bouzid,15.11,43,1012,3.17,0.0,2025-11-26 10:19:58
Kairouan,17.01,42,1012,6.33,0.0,2025-11-26 10:19:58
Kébili,15.95,44,1013,5.04,0.0,2025-11-26 10:19:58
Tozeur,15.25,44,1013,3.09,0.0,2025-11-26 10:19:58
Gabès,15.99,33,1013,5.14,0.0,2025-11-26 10:19:58
Medenine,18.69,35,1013,4.84,0.0,2025-11-26 10:19:58
Tataouine,16.94,24,1014,5.66,0.0,2025-11-26 10:19:58
Mahdia,17.54,41,1012,4.7,0.0,2025-11-26 10:19:58
Monastir,16.91,45,1012,4.12,0.0,2025-11-26 10:19:59
Sousse,16.97,45,1012,4.12,0.0,2025-11-26 10:19:59
Sfax,15.08,72,1013,1.03,0.0,2025-11-26 10:19:59
Gafsa,15.13,44,1013,4.12,0.0,2025-11-26 10:19:59
