city,temperature,humidity,pressure,wind,precipitation,date
Tunis,9.99,93,1014,4.63,0.0,2026-03-28 06:55:37
Ariana,10.0,93,1014,4.63,0.0,2026-03-28 06:55:37
Ben Arous,9.6,78,1014,6.72,0.0,2026-03-28 06:55:37
Manouba,10.43,75,1014,6.95,0.0,2026-03-28 06:55:37
Nabeul,11.4,69,1013,9.85,0.0,2026-03-28 06:55:37
Zaghouan,8.05,74,1014,10.12,0.0,2026-03-28 06:55:37
Bizerte,12.99,58,1014,9.26,0.0,2026-03-28 06:55:37
Beja,8.7,76,1015,6.24,0.0,2026-03-28 06:55:37
Jendouba,7.13,79,1016,2.95,0.1,2026-03-28 06:55:37
Kef,4.85,75,1017,5.35,0.0,2026-03-28 06:55:37
Siliana,4.37,74,1016,9.61,0.0,2026-03-28 06:55:37
Kasserine,5.02,67,1017,6.21,0.0,2026-03-28 06:55:37
Sidi Bouzid,8.6,51,1016,7.05,0.0,2026-03-28 06:55:37
Kairouan,10.01,62,1015,3.09,0.0,2026-03-28 06:55:37
Kébili,10.96,45,1016,6.29,0.0,2026-03-28 06:55:37
Tozeur,11.25,37,1015,3.09,0.0,2026-03-28 06:55:37
Gabès,9.99,53,1016,2.57,0.0,2026-03-28 06:55:37
Medenine,12.91,52,1015,7.25,0.0,2026-03-28 06:55:37
Tataouine,9.78,55,1015,7.51,0.0,2026-03-28 06:55:37
Mahdia,10.81,66,1014,10.4,0.0,2026-03-28 06:55:37
Monastir,10.91,66,1014,8.23,0.0,2026-03-28 06:55:37
Sousse,10.97,66,1014,8.23,0.0,2026-03-28 06:55:37
Sfax,9.08,61,1014,3.09,0.0,2026-03-28 06:55:38
Gafsa,8.03,49,1016,6.69,0.0,2026-03-28 06:55:38
