city,temperature,humidity,pressure,wind,precipitation,date
Tunis,10.99,87,1009,4.63,0.0,2026-01-26 21:21:09
Ariana,11.0,87,1009,4.63,0.0,2026-01-26 21:21:09
Ben Arous,10.6,76,1010,7.67,0.0,2026-01-26 21:21:09
Manouba,9.76,75,1010,8.28,0.0,2026-01-26 21:21:09
Nabeul,10.81,72,1009,12.07,0.0,2026-01-26 21:21:09
Zaghouan,7.18,82,1011,7.94,0.0,2026-01-26 21:21:09
Bizerte,11.99,82,1009,8.23,0.0,2026-01-26 21:21:09
Beja,9.29,78,1011,8.92,0.0,2026-01-26 21:21:09
Jendouba,11.13,88,1011,6.8,0.0,2026-01-26 21:21:09
Kef,7.35,76,1013,7.2,0.0,2026-01-26 21:21:09
Siliana,5.51,87,1012,10.85,0.11,2026-01-26 21:21:09
Kasserine,6.84,69,1014,7.05,0.0,2026-01-26 21:21:10
Sidi Bouzid,10.09,56,1013,6.31,0.0,2026-01-26 21:21:10
Kairouan,12.01,62,1011,4.12,0.0,2026-01-26 21:21:10
Kébili,15.56,55,1014,3.23,0.0,2026-01-26 21:21:10
Tozeur,14.25,72,1014,2.57,0.0,2026-01-26 21:21:10
Gabès,13.99,67,1013,5.66,0.0,2026-01-26 21:21:10
Medenine,12.36,72,1014,8.6,0.43,2026-01-26 21:21:10
Tataouine,14.75,47,1015,10.26,0.0,2026-01-26 21:21:10
Mahdia,10.79,73,1010,9.31,0.0,2026-01-26 21:21:10
Monastir,10.91,71,1010,7.2,0.0,2026-01-26 21:21:10
Sousse,10.97,71,1010,7.2,0.0,2026-01-26 21:21:10
Sfax,12.08,58,1012,3.09,0.0,2026-01-26 21:21:10
Gafsa,13.13,58,1014,0.51,0.0,2026-01-26 21:21:10
