city,temperature,humidity,pressure,wind,precipitation,date
Tunis,25.99,73,1012,4.12,0,2025-07-18 03:26:55
Ariana,26.0,73,1012,4.12,0,2025-07-18 03:26:55
Ben Arous,25.6,67,1012,5.53,0,2025-07-18 03:26:55
Manouba,23.75,66,1012,4.29,0,2025-07-18 03:26:55
Nabeul,24.9,64,1011,7.56,0,2025-07-18 03:26:55
Zaghouan,22.67,53,1012,5.35,0,2025-07-18 03:26:55
Bizerte,25.99,73,1012,8.23,0,2025-07-18 03:26:55
Beja,21.61,69,1013,2.37,0,2025-07-18 03:26:55
Jendouba,18.13,71,1014,1.85,0,2025-07-18 03:26:55
Kef,21.98,44,1015,2.49,0,2025-07-18 03:26:55
Siliana,20.2,44,1014,4.06,0,2025-07-18 03:26:55
Kasserine,23.22,35,1015,2.9,0,2025-07-18 03:26:55
Sidi Bouzid,25.58,34,1013,2.3,0,2025-07-18 03:26:55
Kairouan,25.02,33,1012,1.03,0,2025-07-18 03:26:55
Kébili,27.58,37,1012,4.3,0,2025-07-18 03:26:55
Tozeur,30.25,39,1012,5.66,0,2025-07-18 03:26:55
Gabès,22.99,56,1012,2.06,0,2025-07-18 03:26:55
Medenine,26.76,38,1012,1.82,0,2025-07-18 03:26:56
Tataouine,27.73,36,1013,2.87,0,2025-07-18 03:26:56
Mahdia,25.84,47,1012,3.68,0,2025-07-18 03:26:56
Monastir,24.91,44,1012,1.03,0,2025-07-18 03:26:56
Sousse,24.97,44,1012,1.03,0,2025-07-18 03:26:56
Sfax,24.08,83,1012,0.0,0,2025-07-18 03:26:56
Gafsa,24.13,35,1013,2.57,0,2025-07-18 03:26:56
