city,temperature,humidity,pressure,wind,precipitation,date
Tunis,15.99,63,1008,9.77,0,2025-03-29 12:28:11
Ariana,16.0,63,1008,9.77,0,2025-03-29 12:28:11
Ben Arous,15.6,59,1008,11.24,0,2025-03-29 12:28:11
Manouba,16.91,59,1008,12.11,0,2025-03-29 12:28:11
Nabeul,17.71,55,1007,14.81,0,2025-03-29 12:28:11
Zaghouan,15.99,53,1008,12.25,0,2025-03-29 12:28:11
Bizerte,15.99,67,1007,9.77,0,2025-03-29 12:28:11
Beja,15.29,62,1009,11.61,0,2025-03-29 12:28:11
Jendouba,16.13,74,1010,10.26,0,2025-03-29 12:28:11
Kef,14.48,48,1009,8.6,0,2025-03-29 12:28:11
Siliana,13.24,51,1009,10.87,0,2025-03-29 12:28:11
Kasserine,15.83,35,1010,7.87,0,2025-03-29 12:28:11
Sidi Bouzid,19.15,32,1009,6.76,0,2025-03-29 12:28:11
Kairouan,21.01,30,1009,4.12,0,2025-03-29 12:28:11
Kébili,21.97,22,1010,3.7,0,2025-03-29 12:28:11
Tozeur,22.25,24,1010,5.14,0,2025-03-29 12:28:11
Gabès,21.99,33,1010,4.63,0,2025-03-29 12:28:11
Medenine,22.13,30,1010,2.69,0,2025-03-29 12:28:11
Tataouine,22.34,22,1010,6.37,0,2025-03-29 12:28:11
Mahdia,18.79,42,1009,9.22,0,2025-03-29 12:28:11
Monastir,18.91,48,1008,7.2,0,2025-03-29 12:28:11
Sousse,18.97,48,1008,7.2,0,2025-03-29 12:28:11
Sfax,21.08,37,1009,6.69,0,2025-03-29 12:28:11
Gafsa,20.13,34,1010,7.2,0,2025-03-29 12:28:12
