city,temperature,humidity,pressure,wind,precipitation,date
Tunis,29.26,48,1013,3.27,0,2026-07-24 19:19:57
Ariana,27.17,62,1013,2.59,0,2026-07-24 19:19:57
Ben Arous,28.72,46,1013,3.26,0,2026-07-24 19:19:57
Manouba,29.76,32,1013,2.95,0,2026-07-24 19:19:57
Nabeul,27.24,58,1013,4.58,0,2026-07-24 19:19:57
Zaghouan,29.27,27,1013,3.85,0,2026-07-24 19:19:57
Bizerte,26.17,76,1013,2.86,0,2026-07-24 19:19:58
Beja,31.33,25,1013,1.85,0,2026-07-24 19:19:58
Jendouba,28.57,33,1014,1.64,0,2026-07-24 19:19:58
Kef,31.08,27,1014,3.5,0,2026-07-24 19:19:58
Siliana,29.18,27,1015,2.71,0,2026-07-24 19:19:58
Kasserine,32.92,27,1015,5.0,0,2026-07-24 19:19:58
Sidi Bouzid,32.44,39,1014,4.72,0,2026-07-24 19:19:58
Kairouan,33.83,25,1013,6.09,0,2026-07-24 19:19:58
Kébili,38.42,21,1009,12.89,0,2026-07-24 19:19:58
Tozeur,41.81,11,1008,3.58,0,2026-07-24 19:19:58
Gabès,30.12,57,1013,6.97,0,2026-07-24 19:19:58
Medenine,30.48,43,1013,5.39,0,2026-07-24 19:19:58
Tataouine,36.21,23,1011,6.83,0,2026-07-24 19:19:58
Mahdia,27.39,66,1013,3.72,0,2026-07-24 19:19:58
Monastir,27.36,69,1013,6.71,0,2026-07-24 19:19:58
Sousse,29.56,52,1013,6.94,0,2026-07-24 19:19:58
Sfax,29.87,51,1013,6.89,0,2026-07-24 19:19:58
Gafsa,36.37,21,1012,6.58,0,2026-07-24 19:19:58
