city,temperature,humidity,pressure,wind,precipitation,date
Tunis,16.99,67,1014,1.54,0,2025-11-16 23:14:53
Ariana,17.0,67,1014,1.54,0,2025-11-16 23:14:53
Ben Arous,16.6,36,1014,1.21,0,2025-11-16 23:14:53
Manouba,17.62,40,1014,1.53,0,2025-11-16 23:14:53
Nabeul,19.81,47,1014,2.27,0,2025-11-16 23:14:53
Zaghouan,16.78,34,1014,1.17,0,2025-11-16 23:14:53
Bizerte,13.99,72,1014,0.0,0,2025-11-16 23:14:53
Beja,16.54,47,1015,1.64,0,2025-11-16 23:14:53
Jendouba,12.13,62,1015,1.86,0,2025-11-16 23:14:53
Kef,16.13,38,1015,2.87,0,2025-11-16 23:14:53
Siliana,15.86,37,1015,2.83,0,2025-11-16 23:14:53
Kasserine,15.95,39,1016,2.94,0,2025-11-16 23:14:53
Sidi Bouzid,19.32,29,1015,4.12,0,2025-11-16 23:14:53
Kairouan,21.08,29,1014,3.84,0,2025-11-16 23:14:54
Kébili,21.32,27,1015,2.05,0,2025-11-16 23:14:54
Tozeur,19.25,30,1015,0.0,0,2025-11-16 23:14:54
Gabès,21.99,21,1015,4.63,0,2025-11-16 23:14:54
Medenine,22.71,20,1016,5.5,0,2025-11-16 23:14:54
Tataouine,21.0,19,1017,5.5,0,2025-11-16 23:14:54
Mahdia,21.78,27,1014,5.35,0,2025-11-16 23:14:54
Monastir,20.91,28,1014,2.57,0,2025-11-16 23:14:54
Sousse,20.97,28,1014,2.57,0,2025-11-16 23:14:54
Sfax,17.08,55,1014,1.03,0,2025-11-16 23:14:54
Gafsa,17.13,34,1015,2.57,0,2025-11-16 23:14:54
