city,temperature,humidity,pressure,wind,precipitation,date
Tunis,31.69,37,1013,1.45,0,2025-07-21 20:19:42
Ariana,28.96,51,1013,3.61,0,2025-07-21 20:19:42
Ben Arous,31.27,40,1013,1.45,0,2025-07-21 20:19:42
Manouba,30.67,37,1013,1.41,0,2025-07-21 20:19:42
Nabeul,28.92,63,1013,4.54,0,2025-07-21 20:19:42
Zaghouan,31.79,34,1013,2.62,0,2025-07-21 20:19:42
Bizerte,27.34,66,1013,3.07,0,2025-07-21 20:19:42
Beja,30.03,39,1014,2.62,0,2025-07-21 20:19:42
Jendouba,26.0,51,1015,1.48,0,2025-07-21 20:19:42
Kef,34.34,19,1013,3.82,0,2025-07-21 20:19:42
Siliana,30.94,23,1014,2.9,0,2025-07-21 20:19:42
Kasserine,34.49,13,1014,2.15,0,2025-07-21 20:19:42
Sidi Bouzid,37.3,12,1012,3.34,0,2025-07-21 20:19:42
Kairouan,37.13,24,1011,3.26,0,2025-07-21 20:19:42
Kébili,38.42,12,1010,2.68,0,2025-07-21 20:19:42
Tozeur,39.44,12,1010,2.0,0,2025-07-21 20:19:42
Gabès,37.33,22,1011,4.21,0,2025-07-21 20:19:43
Medenine,35.84,21,1011,4.39,0,2025-07-21 20:19:43
Tataouine,36.98,12,1012,4.12,0,2025-07-21 20:19:43
Mahdia,33.59,43,1011,2.9,0,2025-07-21 20:19:43
Monastir,30.32,65,1011,3.63,0,2025-07-21 20:19:43
Sousse,33.24,50,1011,3.92,0,2025-07-21 20:19:43
Sfax,34.47,40,1011,2.26,0,2025-07-21 20:19:43
Gafsa,37.4,12,1012,2.96,0,2025-07-21 20:19:43
