city,temperature,humidity,pressure,wind,precipitation,date
Tunis,22.99,33,1020,2.57,0,2026-02-24 12:59:25
Ariana,23.0,33,1020,2.57,0,2026-02-24 12:59:25
Ben Arous,22.6,35,1021,3.6,0,2026-02-24 12:59:25
Manouba,20.9,38,1021,3.1,0,2026-02-24 12:59:25
Nabeul,20.06,37,1021,1.58,0,2026-02-24 12:59:26
Zaghouan,20.75,27,1020,4.04,0,2026-02-24 12:59:26
Bizerte,20.99,40,1021,2.57,0,2026-02-24 12:59:26
Beja,20.48,39,1021,2.17,0,2026-02-24 12:59:26
Jendouba,19.13,37,1021,2.38,0,2026-02-24 12:59:26
Kef,19.34,30,1020,2.98,0,2026-02-24 12:59:26
Siliana,19.02,25,1020,3.62,0,2026-02-24 12:59:26
Kasserine,20.43,19,1020,1.85,0,2026-02-24 12:59:26
Sidi Bouzid,22.55,18,1020,4.02,0,2026-02-24 12:59:26
Kairouan,25.01,20,1020,1.03,0,2026-02-24 12:59:26
Kébili,20.85,24,1023,3.77,0,2026-02-24 12:59:26
Tozeur,21.25,26,1022,4.63,0,2026-02-24 12:59:26
Gabès,22.99,25,1021,8.23,0,2026-02-24 12:59:26
Medenine,24.23,14,1022,3.99,0,2026-02-24 12:59:26
Tataouine,20.09,18,1023,2.8,0,2026-02-24 12:59:27
Mahdia,21.16,36,1021,3.22,0,2026-02-24 12:59:27
Monastir,21.91,35,1021,2.57,0,2026-02-24 12:59:27
Sousse,21.97,35,1021,2.57,0,2026-02-24 12:59:27
Sfax,22.08,35,1021,3.09,0,2026-02-24 12:59:27
Gafsa,21.13,32,1021,5.14,0,2026-02-24 12:59:27
