city,temperature,humidity,pressure,wind,precipitation,date
Tunis,18.99,82,1019,0.0,0,2026-05-27 23:58:31
Ariana,19.0,82,1019,0.0,0,2026-05-27 23:58:31
Ben Arous,18.6,52,1019,1.12,0,2026-05-27 23:58:31
Manouba,19.03,53,1019,1.04,0,2026-05-27 23:58:32
Nabeul,20.14,61,1019,2.59,0,2026-05-27 23:58:32
Zaghouan,17.8,56,1020,1.46,0,2026-05-27 23:58:32
Bizerte,16.99,77,1019,1.54,0,2026-05-27 23:58:32
Beja,19.42,48,1020,0.76,0,2026-05-27 23:58:32
Jendouba,17.13,50,1020,0.48,0,2026-05-27 23:58:32
Kef,18.01,51,1020,1.6,0,2026-05-27 23:58:32
Siliana,16.98,54,1020,1.44,0,2026-05-27 23:58:32
Kasserine,19.12,48,1020,1.72,0,2026-05-27 23:58:32
Sidi Bouzid,21.19,48,1020,1.05,0,2026-05-27 23:58:32
Kairouan,23.01,40,1019,0.51,0,2026-05-27 23:58:32
Kébili,23.66,32,1018,3.46,0,2026-05-27 23:58:32
Tozeur,26.25,27,1018,5.14,0,2026-05-27 23:58:32
Gabès,20.99,43,1019,2.57,0,2026-05-27 23:58:32
Medenine,20.45,66,1019,2.96,0,2026-05-27 23:58:32
Tataouine,20.9,42,1018,6.12,0,2026-05-27 23:58:32
Mahdia,21.08,58,1019,2.33,0,2026-05-27 23:58:32
Monastir,21.91,8,1019,2.57,0,2026-05-27 23:58:32
Sousse,21.97,8,1019,2.57,0,2026-05-27 23:58:32
Sfax,22.08,64,1019,2.06,0,2026-05-27 23:58:32
Gafsa,23.13,33,1019,1.03,0,2026-05-27 23:58:32
