city,temperature,humidity,pressure,wind,precipitation,date
Tunis,16.99,63,1023,2.57,0.0,2025-02-04 13:20:39
Ariana,17.0,63,1024,2.57,0.0,2025-02-04 13:20:39
Ben Arous,16.6,55,1023,3.24,0.0,2025-02-04 13:20:39
Manouba,16.43,56,1023,2.72,0.0,2025-02-04 13:20:39
Nabeul,14.99,68,1023,4.01,0.0,2025-02-04 13:20:39
Zaghouan,14.49,53,1023,4.52,0.0,2025-02-04 13:20:39
Bizerte,15.99,72,1024,4.63,0.0,2025-02-04 13:20:39
Beja,14.24,69,1024,2.25,0.0,2025-02-04 13:20:39
Jendouba,16.13,72,1024,4.64,0.0,2025-02-04 13:20:39
Kef,10.72,67,1024,3.23,0.0,2025-02-04 13:20:39
Siliana,10.99,63,1023,4.13,0.0,2025-02-04 13:20:39
Kasserine,11.35,60,1023,3.55,0.0,2025-02-04 13:20:39
Sidi Bouzid,15.15,50,1023,3.6,0.0,2025-02-04 13:20:39
Kairouan,18.01,48,1023,2.06,0.0,2025-02-04 13:20:39
Kébili,15.75,36,1023,1.0,0.0,2025-02-04 13:20:39
Tozeur,19.25,34,1023,2.06,0.0,2025-02-04 13:20:39
Gabès,17.99,45,1023,1.54,0.0,2025-02-04 13:20:39
Medenine,17.4,41,1023,3.32,0.0,2025-02-04 13:20:39
Tataouine,14.97,30,1023,2.44,0.0,2025-02-04 13:20:39
Mahdia,16.16,66,1023,6.27,0.0,2025-02-04 13:20:39
Monastir,15.91,72,1023,5.66,0.2,2025-02-04 13:20:39
Sousse,15.97,72,1023,5.66,0.16,2025-02-04 13:20:39
Sfax,18.08,55,1023,5.14,0.0,2025-02-04 13:20:39
Gafsa,16.13,55,1023,3.6,0.0,2025-02-04 13:20:39
