city,temperature,humidity,pressure,wind,precipitation,date
Tunis,13.99,88,1010,6.69,0.2,2026-03-17 05:56:30
Ariana,14.0,88,1010,6.69,0.0,2026-03-17 05:56:30
Ben Arous,13.6,86,1010,8.5,0.23,2026-03-17 05:56:30
Manouba,11.51,87,1011,7.14,0.0,2026-03-17 05:56:30
Nabeul,13.03,90,1008,13.67,1.83,2026-03-17 05:56:30
Zaghouan,9.38,89,1010,10.86,0.0,2026-03-17 05:56:30
Bizerte,14.99,77,1011,5.14,0.0,2026-03-17 05:56:30
Beja,11.4,92,1012,6.97,0.0,2026-03-17 05:56:31
Jendouba,12.13,97,1012,7.24,0.15,2026-03-17 05:56:31
Kef,8.72,96,1012,7.94,0.18,2026-03-17 05:56:31
Siliana,7.13,94,1011,9.94,0.0,2026-03-17 05:56:31
Kasserine,8.55,85,1009,14.91,0.0,2026-03-17 05:56:31
Sidi Bouzid,10.8,72,1009,13.96,0.0,2026-03-17 05:56:31
Kairouan,14.01,72,1008,3.6,0.15,2026-03-17 05:56:31
Kébili,12.53,59,1011,7.5,0.0,2026-03-17 05:56:31
Tozeur,10.86,55,1011,9.4,0.0,2026-03-17 05:56:31
Gabès,12.99,76,1007,4.63,0.23,2026-03-17 05:56:31
Medenine,12.56,89,1005,7.92,4.89,2026-03-17 05:56:31
Tataouine,10.39,67,1010,8.37,0.0,2026-03-17 05:56:32
Mahdia,13.56,83,1006,8.31,0.25,2026-03-17 05:56:32
Monastir,13.91,38,1007,11.32,1.21,2026-03-17 05:56:32
Sousse,13.97,38,1007,11.32,2.68,2026-03-17 05:56:32
Sfax,13.08,94,1006,9.26,0.0,2026-03-17 05:56:32
Gafsa,13.13,67,1010,5.14,0.0,2026-03-17 05:56:32
