city,temperature,humidity,pressure,wind,precipitation,date
Tunis,18.99,77,1011,6.17,0,2025-04-13 23:15:59
Ariana,19.0,77,1011,6.17,0,2025-04-13 23:15:59
Ben Arous,18.6,79,1012,1.51,0,2025-04-13 23:15:59
Manouba,19.43,62,1011,2.7,0,2025-04-13 23:15:59
Nabeul,17.38,82,1012,5.47,0,2025-04-13 23:15:59
Zaghouan,16.24,77,1012,2.84,0,2025-04-13 23:15:59
Bizerte,18.99,82,1011,5.66,0,2025-04-13 23:16:00
Beja,19.57,56,1010,2.58,0,2025-04-13 23:16:00
Jendouba,19.13,48,1011,2.26,0,2025-04-13 23:16:00
Kef,17.54,54,1010,0.25,0,2025-04-13 23:16:00
Siliana,17.31,59,1011,3.57,0,2025-04-13 23:16:00
Kasserine,19.45,54,1011,2.07,0,2025-04-13 23:16:00
Sidi Bouzid,20.25,59,1010,2.79,0,2025-04-13 23:16:00
Kairouan,19.01,82,1011,1.03,0,2025-04-13 23:16:00
Kébili,31.8,13,1006,9.12,0,2025-04-13 23:16:00
Tozeur,28.25,32,1005,4.63,0,2025-04-13 23:16:01
Gabès,20.99,73,1008,2.57,0,2025-04-13 23:16:01
Medenine,29.41,23,1010,12.25,0,2025-04-13 23:16:01
Tataouine,29.95,15,1010,9.47,0,2025-04-13 23:16:01
Mahdia,18.68,74,1011,6.21,0,2025-04-13 23:16:01
Monastir,18.91,82,1012,3.09,0,2025-04-13 23:16:01
Sousse,18.97,82,1012,3.09,0,2025-04-13 23:16:01
Sfax,22.08,68,1010,3.09,0,2025-04-13 23:16:01
Gafsa,23.13,49,1009,3.09,0,2025-04-13 23:16:02
