city,temperature,humidity,pressure,wind,precipitation,date
Tunis,25.99,65,1019,2.57,0,2025-09-11 20:14:07
Ariana,26.0,65,1019,2.57,0,2025-09-11 20:14:07
Ben Arous,25.6,60,1019,5.12,0,2025-09-11 20:14:07
Manouba,24.07,68,1019,4.46,0,2025-09-11 20:14:07
Nabeul,24.94,65,1018,7.37,0,2025-09-11 20:14:07
Zaghouan,22.97,63,1019,6.66,0,2025-09-11 20:14:07
Bizerte,24.99,73,1019,3.6,0,2025-09-11 20:14:07
Beja,22.45,77,1020,4.02,0,2025-09-11 20:14:07
Jendouba,24.13,86,1021,1.72,0,2025-09-11 20:14:07
Kef,21.0,70,1021,2.94,0,2025-09-11 20:14:07
Siliana,20.1,69,1020,4.93,0,2025-09-11 20:14:08
Kasserine,23.49,53,1020,3.79,0,2025-09-11 20:14:08
Sidi Bouzid,25.73,56,1018,5.26,0,2025-09-11 20:14:08
Kairouan,27.01,57,1018,8.25,0,2025-09-11 20:14:08
Kébili,27.34,51,1016,5.71,0,2025-09-11 20:14:08
Tozeur,31.25,35,1016,5.14,0,2025-09-11 20:14:08
Gabès,25.99,65,1017,3.6,0,2025-09-11 20:14:08
Medenine,26.57,69,1017,6.27,0,2025-09-11 20:14:08
Tataouine,26.3,58,1016,9.53,0,2025-09-11 20:14:08
Mahdia,25.83,70,1018,8.76,0,2025-09-11 20:14:08
Monastir,26.91,61,1018,8.23,0,2025-09-11 20:14:08
Sousse,26.97,61,1018,8.23,0,2025-09-11 20:14:08
Sfax,27.08,61,1017,4.63,0,2025-09-11 20:14:09
Gafsa,28.13,36,1018,5.14,0,2025-09-11 20:14:09
