city,temperature,humidity,pressure,wind,precipitation,date
Tunis,34.99,49,1007,1.03,0,2025-07-24 14:19:10
Ariana,35.0,49,1007,1.03,0,2025-07-24 14:19:10
Ben Arous,34.6,18,1007,7.09,0,2025-07-24 14:19:10
Manouba,40.17,18,1006,8.6,0,2025-07-24 14:19:11
Nabeul,32.56,54,1009,6.36,0,2025-07-24 14:19:11
Zaghouan,35.01,27,1009,10.77,0,2025-07-24 14:19:11
Bizerte,37.99,41,1009,6.17,0,2025-07-24 14:19:11
Beja,39.8,20,1007,5.39,0,2025-07-24 14:19:11
Jendouba,41.13,31,1008,2.46,0,2025-07-24 14:19:11
Kef,38.78,11,1008,8.98,0,2025-07-24 14:19:11
Siliana,39.38,9,1009,7.31,0,2025-07-24 14:19:11
Kasserine,39.6,10,1011,9.33,0,2025-07-24 14:19:11
Sidi Bouzid,43.55,8,1009,7.55,0,2025-07-24 14:19:11
Kairouan,47.01,8,1006,2.57,0,2025-07-24 14:19:11
Kébili,46.05,6,1007,3.56,0,2025-07-24 14:19:11
Tozeur,45.25,7,1007,6.17,0,2025-07-24 14:19:11
Gabès,40.28,22,1008,7.03,0,2025-07-24 14:19:11
Medenine,45.37,7,1008,2.95,0,2025-07-24 14:19:11
Tataouine,43.98,6,1009,5.01,0,2025-07-24 14:19:11
Mahdia,39.7,27,1008,10.98,0,2025-07-24 14:19:11
Monastir,36.91,47,1007,9.26,0,2025-07-24 14:19:11
Sousse,36.97,47,1007,9.26,0,2025-07-24 14:19:11
Sfax,34.08,59,1009,5.66,0,2025-07-24 14:19:11
Gafsa,43.13,10,1009,5.66,0,2025-07-24 14:19:11
