city,temperature,humidity,pressure,wind,precipitation,date
Tunis,30.99,45,1017,6.69,0,2025-06-20 13:28:30
Ariana,31.0,45,1018,6.69,0,2025-06-20 13:28:30
Ben Arous,30.6,37,1017,7.43,0,2025-06-20 13:28:30
Manouba,25.74,32,1017,7.78,0,2025-06-20 13:28:30
Nabeul,26.91,51,1017,8.36,0,2025-06-20 13:28:30
Zaghouan,25.69,35,1017,9.29,0,2025-06-20 13:28:30
Bizerte,24.24,70,1019,7.82,0,2025-06-20 13:28:30
Beja,27.54,41,1019,7.66,0,2025-06-20 13:28:30
Jendouba,28.51,37,1019,7.22,0,2025-06-20 13:28:30
Kef,28.23,29,1018,7.27,0,2025-06-20 13:28:31
Siliana,26.4,31,1018,8.47,0,2025-06-20 13:28:31
Kasserine,29.43,25,1018,7.74,0,2025-06-20 13:28:31
Sidi Bouzid,31.14,26,1016,6.91,0,2025-06-20 13:28:31
Kairouan,29.91,36,1016,9.88,0,2025-06-20 13:28:31
Kébili,34.1,22,1016,5.84,0,2025-06-20 13:28:31
Tozeur,35.25,21,1015,5.66,0,2025-06-20 13:28:31
Gabès,31.99,35,1016,6.17,0,2025-06-20 13:28:31
Medenine,29.44,42,1017,7.27,0,2025-06-20 13:28:31
Tataouine,34.21,25,1014,8.37,0,2025-06-20 13:28:31
Mahdia,27.76,60,1017,7.97,0,2025-06-20 13:28:31
Monastir,26.91,69,1017,4.63,0,2025-06-20 13:28:31
Sousse,26.97,69,1017,4.63,0,2025-06-20 13:28:31
Sfax,31.08,40,1016,6.69,0,2025-06-20 13:28:31
Gafsa,34.13,24,1016,6.69,0,2025-06-20 13:28:31
