city,temperature,humidity,pressure,wind,precipitation,date
Tunis,12.99,100,1020,0.51,0.14,2025-12-27 22:16:19
Ariana,13.0,100,1020,0.51,0.3,2025-12-27 22:16:19
Ben Arous,12.6,81,1020,0.15,0.0,2025-12-27 22:16:19
Manouba,11.55,85,1020,0.74,0.0,2025-12-27 22:16:19
Nabeul,15.21,78,1020,4.21,0.71,2025-12-27 22:16:19
Zaghouan,9.81,87,1020,1.43,0.0,2025-12-27 22:16:19
Bizerte,12.99,100,1020,1.54,0.38,2025-12-27 22:16:19
Beja,10.3,86,1020,0.14,0.0,2025-12-27 22:16:19
Jendouba,7.13,86,1020,0.57,0.0,2025-12-27 22:16:20
Kef,8.29,83,1020,1.03,0.0,2025-12-27 22:16:20
Siliana,7.37,89,1020,0.34,0.0,2025-12-27 22:16:20
Kasserine,7.83,86,1020,0.53,0.0,2025-12-27 22:16:20
Sidi Bouzid,11.28,78,1020,1.22,0.0,2025-12-27 22:16:20
Kairouan,11.01,93,1020,0.51,0.0,2025-12-27 22:16:20
Kébili,11.04,59,1021,2.79,0.0,2025-12-27 22:16:20
Tozeur,9.25,100,1020,0.0,0.0,2025-12-27 22:16:20
Gabès,7.99,100,1020,3.09,0.0,2025-12-27 22:16:20
Medenine,11.65,58,1020,3.69,0.0,2025-12-27 22:16:20
Tataouine,9.69,61,1021,2.26,0.0,2025-12-27 22:16:20
Mahdia,15.7,73,1019,3.01,0.0,2025-12-27 22:16:20
Monastir,11.91,94,1019,0.0,0.0,2025-12-27 22:16:20
Sousse,11.97,94,1019,0.0,0.0,2025-12-27 22:16:20
Sfax,11.08,100,1019,1.54,0.0,2025-12-27 22:16:20
Gafsa,8.13,93,1020,0.0,0.0,2025-12-27 22:16:21
