city,temperature,humidity,pressure,wind,precipitation,date
Tunis,28.1,60,1016,1.0,0,2026-08-10 23:31:01
Ariana,26.23,75,1016,0.52,0,2026-08-10 23:31:01
Ben Arous,26.57,67,1016,1.05,0,2026-08-10 23:31:01
Manouba,25.99,62,1016,0.69,0,2026-08-10 23:31:01
Nabeul,25.71,82,1016,1.4,0,2026-08-10 23:31:01
Zaghouan,25.04,61,1016,1.05,0,2026-08-10 23:31:01
Bizerte,26.29,76,1016,1.62,0,2026-08-10 23:31:01
Beja,26.8,51,1016,0.92,0,2026-08-10 23:31:01
Jendouba,25.25,49,1017,1.11,0,2026-08-10 23:31:01
Kef,26.53,48,1017,1.29,0,2026-08-10 23:31:01
Siliana,24.79,52,1017,1.88,0,2026-08-10 23:31:01
Kasserine,26.06,51,1017,2.22,0,2026-08-10 23:31:01
Sidi Bouzid,27.33,52,1016,1.77,0,2026-08-10 23:31:01
Kairouan,29.26,47,1016,0.71,0,2026-08-10 23:31:01
Kébili,30.07,34,1014,4.32,0,2026-08-10 23:31:01
Tozeur,31.31,39,1014,6.64,0,2026-08-10 23:31:01
Gabès,28.12,53,1015,4.27,0,2026-08-10 23:31:01
Medenine,27.11,68,1015,2.77,0,2026-08-10 23:31:01
Tataouine,28.61,36,1014,4.78,0,2026-08-10 23:31:01
Mahdia,26.59,72,1016,0.96,0,2026-08-10 23:31:01
Monastir,28.33,64,1016,0.54,0,2026-08-10 23:31:01
Sousse,28.89,56,1016,0.5,0,2026-08-10 23:31:01
Sfax,29.15,61,1015,0.81,0,2026-08-10 23:31:01
Gafsa,27.8,46,1015,2.66,0,2026-08-10 23:31:01
