city,temperature,humidity,pressure,wind,precipitation,date
Tunis,27.99,57,1017,1.03,0,2025-08-11 07:22:31
Ariana,28.0,57,1017,1.03,0,2025-08-11 07:22:31
Ben Arous,27.6,51,1017,1.85,0,2025-08-11 07:22:31
Manouba,27.34,51,1017,1.02,0,2025-08-11 07:22:31
Nabeul,27.89,56,1016,5.63,0,2025-08-11 07:22:31
Zaghouan,25.7,50,1017,2.04,0,2025-08-11 07:22:31
Bizerte,23.99,88,1017,1.03,0,2025-08-11 07:22:31
Beja,26.43,53,1017,0.9,0,2025-08-11 07:22:31
Jendouba,25.13,54,1018,0.72,0,2025-08-11 07:22:31
Kef,23.73,51,1018,0.47,0,2025-08-11 07:22:31
Siliana,23.56,46,1018,0.95,0,2025-08-11 07:22:31
Kasserine,24.84,43,1018,0.59,0,2025-08-11 07:22:31
Sidi Bouzid,26.59,41,1017,0.9,0,2025-08-11 07:22:31
Kairouan,29.01,37,1016,1.03,0,2025-08-11 07:22:31
Kébili,27.69,39,1016,4.66,0,2025-08-11 07:22:31
Tozeur,28.25,65,1016,5.66,0,2025-08-11 07:22:31
Gabès,27.99,69,1016,1.03,0,2025-08-11 07:22:31
Medenine,26.63,60,1016,0.94,0,2025-08-11 07:22:32
Tataouine,26.22,48,1016,5.85,0,2025-08-11 07:22:32
Mahdia,28.54,50,1016,4.46,0,2025-08-11 07:22:32
Monastir,27.91,69,1016,4.63,0,2025-08-11 07:22:32
Sousse,27.97,69,1016,4.63,0,2025-08-11 07:22:32
Sfax,29.08,51,1016,3.09,0,2025-08-11 07:22:32
Gafsa,28.13,42,1017,4.12,0,2025-08-11 07:22:32
