city,temperature,humidity,pressure,wind,precipitation,date
Tunis,12.99,88,1011,4.63,0.0,2025-12-04 01:21:23
Ariana,13.0,88,1011,4.63,0.26,2025-12-04 01:21:24
Ben Arous,12.6,81,1012,4.07,0.0,2025-12-04 01:21:24
Manouba,11.29,76,1012,4.68,0.0,2025-12-04 01:21:24
Nabeul,12.48,81,1011,6.44,0.0,2025-12-04 01:21:24
Zaghouan,9.58,79,1012,4.99,0.0,2025-12-04 01:21:24
Bizerte,11.99,100,1011,3.6,0.92,2025-12-04 01:21:24
Beja,10.05,90,1013,4.43,0.53,2025-12-04 01:21:24
Jendouba,10.13,94,1013,1.99,0.33,2025-12-04 01:21:24
Kef,5.79,89,1014,0.79,1.31,2025-12-04 01:21:24
Siliana,5.87,89,1013,7.01,0.17,2025-12-04 01:21:24
Kasserine,5.47,81,1013,4.48,0.0,2025-12-04 01:21:24
Sidi Bouzid,9.76,74,1012,4.02,0.27,2025-12-04 01:21:24
Kairouan,14.01,62,1011,3.09,0.0,2025-12-04 01:21:24
Kébili,12.35,49,1012,3.24,0.0,2025-12-04 01:21:24
Tozeur,10.25,100,1012,4.12,0.35,2025-12-04 01:21:24
Gabès,10.99,71,1011,3.09,0.0,2025-12-04 01:21:24
Medenine,13.82,43,1011,4.03,0.0,2025-12-04 01:21:24
Tataouine,12.83,45,1013,5.42,0.0,2025-12-04 01:21:24
Mahdia,14.24,64,1010,5.54,0.45,2025-12-04 01:21:24
Monastir,16.91,72,1011,8.75,0.0,2025-12-04 01:21:25
Sousse,16.97,72,1011,8.75,0.0,2025-12-04 01:21:25
Sfax,13.67,54,1010,5.71,0.0,2025-12-04 01:21:25
Gafsa,9.23,58,1012,3.47,0.0,2025-12-04 01:21:25
