city,temperature,humidity,pressure,wind,precipitation,date
Tunis,21.99,88,1013,1.49,0.0,2025-09-23 04:19:12
Ariana,22.0,88,1013,1.87,0.0,2025-09-23 04:19:12
Ben Arous,21.6,86,1014,1.37,0.0,2025-09-23 04:19:12
Manouba,21.19,80,1013,1.47,0.0,2025-09-23 04:19:13
Nabeul,22.71,87,1014,3.4,0.0,2025-09-23 04:19:13
Zaghouan,19.95,89,1014,1.98,0.0,2025-09-23 04:19:13
Bizerte,21.92,78,1013,2.54,0.0,2025-09-23 04:19:13
Beja,20.66,85,1014,1.29,0.0,2025-09-23 04:19:13
Jendouba,17.13,90,1014,0.83,0.0,2025-09-23 04:19:13
Kef,19.73,80,1014,1.61,0.0,2025-09-23 04:19:13
Siliana,18.09,81,1014,2.23,0.0,2025-09-23 04:19:13
Kasserine,19.28,81,1015,1.54,0.0,2025-09-23 04:19:13
Sidi Bouzid,21.18,78,1015,1.21,0.16,2025-09-23 04:19:13
Kairouan,21.01,88,1014,1.03,0.0,2025-09-23 04:19:13
Kébili,24.74,59,1013,4.78,0.0,2025-09-23 04:19:13
Tozeur,26.25,69,1013,7.72,0.0,2025-09-23 04:19:13
Gabès,23.99,78,1013,4.63,0.0,2025-09-23 04:19:13
Medenine,24.14,68,1014,2.1,0.0,2025-09-23 04:19:13
Tataouine,24.36,38,1014,3.83,0.0,2025-09-23 04:19:13
Mahdia,23.13,83,1014,2.01,0.0,2025-09-23 04:19:13
Monastir,21.91,94,1014,0.51,0.0,2025-09-23 04:19:14
Sousse,21.97,94,1014,0.51,0.0,2025-09-23 04:19:14
Sfax,25.48,69,1013,3.4,0.0,2025-09-23 04:19:14
Gafsa,21.58,74,1015,1.77,0.0,2025-09-23 04:19:14
