city,temperature,humidity,pressure,wind,precipitation,date
Tunis,32.08,52,1011,5.16,0,2026-07-26 17:59:06
Ariana,30.11,61,1011,7.21,0,2026-07-26 17:59:06
Ben Arous,33.49,43,1011,2.12,0,2026-07-26 17:59:06
Manouba,31.31,50,1011,6.33,0,2026-07-26 17:59:06
Nabeul,27.67,81,1011,4.97,0,2026-07-26 17:59:06
Zaghouan,32.44,36,1011,2.94,0,2026-07-26 17:59:06
Bizerte,27.85,82,1012,9.16,0,2026-07-26 17:59:06
Beja,29.71,50,1013,6.31,0,2026-07-26 17:59:06
Jendouba,28.98,47,1014,4.26,0,2026-07-26 17:59:06
Kef,27.26,48,1013,6.1,0,2026-07-26 17:59:06
Siliana,31.21,33,1013,5.85,0,2026-07-26 17:59:06
Kasserine,38.9,7,1010,5.3,0,2026-07-26 17:59:06
Sidi Bouzid,41.04,8,1008,4.4,0,2026-07-26 17:59:06
Kairouan,38.31,25,1008,3.52,0,2026-07-26 17:59:06
Kébili,42.47,5,1006,3.01,0,2026-07-26 17:59:06
Tozeur,45.34,5,1006,4.45,0,2026-07-26 17:59:06
Gabès,36.64,35,1008,8.7,0,2026-07-26 17:59:06
Medenine,38.92,21,1010,6.5,0,2026-07-26 17:59:06
Tataouine,42.79,7,1009,4.27,0,2026-07-26 17:59:07
Mahdia,28.85,74,1010,6.56,0,2026-07-26 17:59:07
Monastir,28.42,77,1010,7.84,0,2026-07-26 17:59:07
Sousse,30.98,60,1010,8.43,0,2026-07-26 17:59:07
Sfax,31.95,57,1009,7.84,0,2026-07-26 17:59:07
Gafsa,41.33,6,1008,4.81,0,2026-07-26 17:59:07
