city,temperature,humidity,pressure,wind,precipitation,date
Tunis,18.99,55,1019,4.12,0,2025-05-28 03:11:05
Ariana,19.0,55,1019,4.12,0,2025-05-28 03:11:05
Ben Arous,18.6,60,1020,3.96,0,2025-05-28 03:11:05
Manouba,16.22,65,1020,3.37,0,2025-05-28 03:11:06
Nabeul,17.16,59,1019,8.3,0,2025-05-28 03:11:06
Zaghouan,14.29,56,1020,2.94,0,2025-05-28 03:11:06
Bizerte,16.61,76,1020,9.19,0,2025-05-28 03:11:06
Beja,14.03,77,1021,2.49,0,2025-05-28 03:11:06
Jendouba,12.25,83,1021,2.0,0,2025-05-28 03:11:06
Kef,12.11,68,1021,1.12,0,2025-05-28 03:11:06
Siliana,12.29,56,1021,2.03,0,2025-05-28 03:11:06
Kasserine,15.85,53,1021,1.87,0,2025-05-28 03:11:07
Sidi Bouzid,18.8,53,1020,1.15,0,2025-05-28 03:11:07
Kairouan,18.27,55,1019,0.73,0,2025-05-28 03:11:07
Kébili,24.07,23,1018,3.04,0,2025-05-28 03:11:07
Tozeur,21.75,34,1018,4.31,0,2025-05-28 03:11:07
Gabès,17.93,60,1019,3.05,0,2025-05-28 03:11:08
Medenine,21.79,34,1018,2.12,0,2025-05-28 03:11:08
Tataouine,22.36,29,1019,3.16,0,2025-05-28 03:11:08
Mahdia,18.39,58,1019,3.27,0,2025-05-28 03:11:08
Monastir,18.91,72,1019,1.03,0,2025-05-28 03:11:08
Sousse,18.97,72,1019,1.03,0,2025-05-28 03:11:08
Sfax,18.7,67,1019,1.42,0,2025-05-28 03:11:08
Gafsa,20.47,43,1020,3.41,0,2025-05-28 03:11:08
