city,temperature,humidity,pressure,wind,precipitation,date
Tunis,15.14,92,1010,4.33,1.78,2026-04-14 07:26:36
Ariana,15.16,91,1010,4.54,1.22,2026-04-14 07:26:36
Ben Arous,14.59,92,1010,5.05,2.37,2026-04-14 07:26:36
Manouba,14.54,88,1010,5.04,2.05,2026-04-14 07:26:36
Nabeul,15.07,91,1010,5.83,2.05,2026-04-14 07:26:36
Zaghouan,12.04,93,1011,5.05,5.62,2026-04-14 07:26:36
Bizerte,14.73,87,1010,7.1,0.0,2026-04-14 07:26:36
Beja,13.24,90,1011,4.21,2.51,2026-04-14 07:26:36
Jendouba,12.38,93,1011,2.39,2.37,2026-04-14 07:26:36
Kef,10.7,91,1011,1.92,3.65,2026-04-14 07:26:36
Siliana,9.56,87,1011,2.02,0.0,2026-04-14 07:26:36
Kasserine,11.77,64,1010,2.3,0.0,2026-04-14 07:26:36
Sidi Bouzid,12.9,75,1010,3.86,0.97,2026-04-14 07:26:36
Kairouan,12.91,94,1010,7.37,0.0,2026-04-14 07:26:36
Kébili,14.79,55,1010,6.33,0.0,2026-04-14 07:26:36
Tozeur,14.78,66,1009,1.36,0.0,2026-04-14 07:26:36
Gabès,17.22,47,1009,1.88,0.0,2026-04-14 07:26:36
Medenine,19.41,36,1009,8.48,0.0,2026-04-14 07:26:37
Tataouine,15.98,37,1012,6.29,0.0,2026-04-14 07:26:37
Mahdia,15.91,88,1010,5.5,0.49,2026-04-14 07:26:37
Monastir,14.91,93,1010,3.7,2.05,2026-04-14 07:26:37
Sousse,14.61,94,1010,2.61,2.37,2026-04-14 07:26:37
Sfax,16.42,81,1008,4.75,0.83,2026-04-14 07:26:37
Gafsa,13.23,61,1009,2.18,0.0,2026-04-14 07:26:37
