city,temperature,humidity,pressure,wind,precipitation,date
Tunis,28.99,54,1017,4.12,0.0,2025-09-05 16:19:12
Ariana,29.0,54,1017,4.12,0.0,2025-09-05 16:19:12
Ben Arous,28.6,29,1017,3.88,0.0,2025-09-05 16:19:13
Manouba,32.14,28,1017,5.58,0.0,2025-09-05 16:19:13
Nabeul,27.26,56,1018,5.35,0.0,2025-09-05 16:19:13
Zaghouan,29.89,34,1017,4.13,0.0,2025-09-05 16:19:13
Bizerte,26.52,57,1018,4.5,0.0,2025-09-05 16:19:13
Beja,34.0,25,1016,5.44,0.0,2025-09-05 16:19:13
Jendouba,35.13,32,1016,3.39,0.0,2025-09-05 16:19:13
Kef,32.79,23,1016,4.09,0.0,2025-09-05 16:19:13
Siliana,30.88,23,1017,4.64,0.0,2025-09-05 16:19:13
Kasserine,32.17,35,1015,6.46,0.0,2025-09-05 16:19:13
Sidi Bouzid,34.12,34,1015,5.47,0.0,2025-09-05 16:19:13
Kairouan,34.01,29,1016,2.06,0.0,2025-09-05 16:19:13
Kébili,38.29,22,1013,2.6,0.0,2025-09-05 16:19:13
Tozeur,39.25,25,1013,3.09,0.0,2025-09-05 16:19:13
Gabès,30.99,58,1016,7.72,0.0,2025-09-05 16:19:13
Medenine,30.74,38,1016,6.18,0.0,2025-09-05 16:19:13
Tataouine,37.58,17,1014,5.27,0.0,2025-09-05 16:19:13
Mahdia,27.87,48,1017,4.61,0.0,2025-09-05 16:19:13
Monastir,28.91,48,1017,4.63,0.0,2025-09-05 16:19:13
Sousse,28.97,48,1017,4.63,0.0,2025-09-05 16:19:13
Sfax,30.08,58,1017,5.14,0.0,2025-09-05 16:19:13
Gafsa,35.13,36,1013,2.57,0.39,2025-09-05 16:19:13
