city,temperature,humidity,pressure,wind,precipitation,date
Tunis,28.99,54,1018,2.06,0,2025-08-10 08:21:28
Ariana,29.0,54,1018,2.06,0,2025-08-10 08:21:28
Ben Arous,28.6,33,1018,1.42,0,2025-08-10 08:21:28
Manouba,30.44,33,1018,1.85,0,2025-08-10 08:21:28
Nabeul,29.35,43,1018,0.3,0,2025-08-10 08:21:28
Zaghouan,28.76,29,1019,1.16,0,2025-08-10 08:21:28
Bizerte,28.99,70,1018,2.57,0,2025-08-10 08:21:28
Beja,29.21,35,1019,1.93,0,2025-08-10 08:21:28
Jendouba,28.13,29,1019,1.23,0,2025-08-10 08:21:28
Kef,27.58,32,1019,0.47,0,2025-08-10 08:21:28
Siliana,26.68,30,1019,1.52,0,2025-08-10 08:21:28
Kasserine,26.58,33,1020,1.69,0,2025-08-10 08:21:29
Sidi Bouzid,27.69,34,1019,1.56,0,2025-08-10 08:21:29
Kairouan,30.01,39,1018,1.03,0,2025-08-10 08:21:29
Kébili,28.69,40,1018,5.21,0,2025-08-10 08:21:29
Tozeur,29.25,58,1018,6.69,0,2025-08-10 08:21:29
Gabès,27.99,65,1019,4.12,0,2025-08-10 08:21:29
Medenine,28.09,58,1018,2.04,0,2025-08-10 08:21:29
Tataouine,28.17,45,1017,5.48,0,2025-08-10 08:21:29
Mahdia,29.46,40,1018,1.71,0,2025-08-10 08:21:29
Monastir,27.91,61,1018,3.09,0,2025-08-10 08:21:29
Sousse,27.97,61,1018,3.09,0,2025-08-10 08:21:29
Sfax,30.08,51,1018,1.03,0,2025-08-10 08:21:30
Gafsa,27.91,29,1019,2.61,0,2025-08-10 08:21:30
