city,temperature,humidity,pressure,wind,precipitation,date
Tunis,14.44,72,1019,3.6,0,2025-03-24 22:15:25
Ariana,13.35,77,1019,3.6,0,2025-03-24 22:15:25
Ben Arous,13.83,76,1019,3.4,0,2025-03-24 22:15:25
Manouba,11.5,80,1020,1.88,0,2025-03-24 22:15:25
Nabeul,15.33,76,1018,7.38,0,2025-03-24 22:15:25
Zaghouan,11.65,76,1019,4.53,0,2025-03-24 22:15:26
Bizerte,13.24,79,1019,4.44,0,2025-03-24 22:15:26
Beja,8.8,91,1020,1.88,0,2025-03-24 22:15:26
Jendouba,7.98,94,1020,0.19,0,2025-03-24 22:15:26
Kef,6.86,95,1020,2.24,0,2025-03-24 22:15:26
Siliana,7.01,90,1020,1.54,0,2025-03-24 22:15:26
Kasserine,11.1,74,1018,3.03,0,2025-03-24 22:15:26
Sidi Bouzid,14.84,67,1017,7.19,0,2025-03-24 22:15:27
Kairouan,14.88,67,1018,6.99,0,2025-03-24 22:15:27
Kébili,19.49,51,1014,5.04,0,2025-03-24 22:15:27
Tozeur,19.63,25,1014,4.62,0,2025-03-24 22:15:27
Gabès,16.99,79,1016,5.37,0,2025-03-24 22:15:27
Medenine,17.92,80,1014,5.19,0,2025-03-24 22:15:27
Tataouine,24.24,31,1013,3.85,0,2025-03-24 22:15:27
Mahdia,15.52,74,1017,6.96,0,2025-03-24 22:15:27
Monastir,15.51,75,1018,9.26,0,2025-03-24 22:15:27
Sousse,15.86,72,1018,9.26,0,2025-03-24 22:15:27
Sfax,16.81,71,1017,4.63,0,2025-03-24 22:15:28
Gafsa,18.58,41,1015,1.62,0,2025-03-24 22:15:28
