city,temperature,humidity,pressure,wind,precipitation,date
Tunis,32.76,35,1014,5.99,0.0,2026-06-23 15:10:45
Ariana,32.29,35,1014,6.34,0.0,2026-06-23 15:10:45
Ben Arous,34.19,27,1014,4.52,0.0,2026-06-23 15:10:45
Manouba,34.92,24,1014,8.27,0.0,2026-06-23 15:10:45
Nabeul,28.48,49,1015,5.41,0.0,2026-06-23 15:10:45
Zaghouan,33.29,21,1014,8.35,0.0,2026-06-23 15:10:45
Bizerte,27.19,59,1015,6.16,0.0,2026-06-23 15:10:45
Beja,33.82,24,1014,3.96,0.0,2026-06-23 15:10:45
Jendouba,27.72,40,1016,6.15,0.2,2026-06-23 15:10:45
Kef,29.65,27,1015,6.07,0.0,2026-06-23 15:10:45
Siliana,31.36,21,1015,6.31,0.0,2026-06-23 15:10:45
Kasserine,28.66,30,1016,4.71,0.0,2026-06-23 15:10:45
Sidi Bouzid,35.01,18,1014,3.99,0.0,2026-06-23 15:10:45
Kairouan,36.7,17,1013,5.66,0.0,2026-06-23 15:10:45
Kébili,37.69,13,1013,3.43,0.0,2026-06-23 15:10:45
Tozeur,36.76,18,1013,1.17,0.0,2026-06-23 15:10:45
Gabès,30.34,42,1015,6.18,0.0,2026-06-23 15:10:45
Medenine,33.54,22,1014,6.94,0.0,2026-06-23 15:10:45
Tataouine,35.85,13,1013,2.41,0.0,2026-06-23 15:10:45
Mahdia,31.54,34,1015,7.15,0.0,2026-06-23 15:10:46
Monastir,27.94,54,1015,6.91,0.0,2026-06-23 15:10:46
Sousse,30.59,40,1015,6.35,0.0,2026-06-23 15:10:46
Sfax,29.86,39,1015,5.35,0.0,2026-06-23 15:10:46
Gafsa,34.66,18,1013,2.07,0.0,2026-06-23 15:10:46
