city,temperature,humidity,pressure,wind,precipitation,date
Tunis,17.52,51,1011,6.17,0,2025-03-28 14:15:03
Ariana,17.42,52,1011,6.17,0,2025-03-28 14:15:03
Ben Arous,17.16,53,1011,7.15,0,2025-03-28 14:15:03
Manouba,17.4,47,1011,8.65,0,2025-03-28 14:15:03
Nabeul,18.33,50,1011,10.79,0,2025-03-28 14:15:03
Zaghouan,14.75,53,1011,6.75,0,2025-03-28 14:15:03
Bizerte,15.19,69,1011,10.71,0,2025-03-28 14:15:03
Beja,16.59,48,1012,8.69,0,2025-03-28 14:15:03
Jendouba,15.41,55,1012,7.72,0,2025-03-28 14:15:03
Kef,14.97,46,1012,8.64,0,2025-03-28 14:15:03
Siliana,14.5,43,1011,8.67,0,2025-03-28 14:15:03
Kasserine,18.39,27,1011,7.58,0,2025-03-28 14:15:03
Sidi Bouzid,21.93,20,1010,6.1,0,2025-03-28 14:15:03
Kairouan,20.97,31,1011,7.78,0,2025-03-28 14:15:03
Kébili,24.07,20,1012,7.19,0,2025-03-28 14:15:03
Tozeur,24.1,15,1011,9.23,0,2025-03-28 14:15:04
Gabès,23.11,25,1011,5.79,0,2025-03-28 14:15:04
Medenine,25.26,15,1011,10.44,0,2025-03-28 14:15:04
Tataouine,22.88,17,1013,7.51,0,2025-03-28 14:15:04
Mahdia,18.0,51,1011,7.69,0,2025-03-28 14:15:04
Monastir,18.05,53,1011,5.66,0,2025-03-28 14:15:04
Sousse,18.89,44,1011,5.66,0,2025-03-28 14:15:04
Sfax,21.73,28,1011,4.14,0,2025-03-28 14:15:04
Gafsa,20.75,20,1011,5.92,0,2025-03-28 14:15:04
