city,temperature,humidity,pressure,wind,precipitation,date
Tunis,13.99,88,1019,2.57,0,2025-04-28 01:18:43
Ariana,14.0,88,1019,2.57,0,2025-04-28 01:18:43
Ben Arous,13.6,87,1019,1.42,0,2025-04-28 01:18:43
Manouba,12.74,91,1019,1.21,0,2025-04-28 01:18:43
Nabeul,14.72,79,1019,3.66,0,2025-04-28 01:18:43
Zaghouan,11.73,86,1019,0.82,0,2025-04-28 01:18:43
Bizerte,14.99,94,1019,3.6,0,2025-04-28 01:18:43
Beja,10.58,93,1019,1.93,0,2025-04-28 01:18:43
Jendouba,9.13,94,1020,1.02,0,2025-04-28 01:18:43
Kef,9.84,91,1019,0.7,0,2025-04-28 01:18:43
Siliana,8.94,88,1019,1.43,0,2025-04-28 01:18:43
Kasserine,11.91,76,1019,1.98,0,2025-04-28 01:18:43
Sidi Bouzid,14.1,76,1019,4.14,0,2025-04-28 01:18:43
Kairouan,14.01,88,1019,1.03,0,2025-04-28 01:18:43
Kébili,17.91,69,1017,8.77,0,2025-04-28 01:18:43
Tozeur,18.25,59,1017,8.23,0,2025-04-28 01:18:43
Gabès,14.99,88,1018,2.57,0,2025-04-28 01:18:43
Medenine,17.05,83,1017,3.74,0,2025-04-28 01:18:43
Tataouine,16.09,75,1016,5.39,0,2025-04-28 01:18:43
Mahdia,15.52,83,1019,8.48,0,2025-04-28 01:18:43
Monastir,14.91,88,1020,4.63,0,2025-04-28 01:18:43
Sousse,14.97,88,1020,4.63,0,2025-04-28 01:18:44
Sfax,16.08,82,1019,6.69,0,2025-04-28 01:18:44
Gafsa,14.13,100,1018,8.23,0,2025-04-28 01:18:44
