city,temperature,humidity,pressure,wind,precipitation,date
Tunis,23.99,78,1020,1.03,0,2025-09-15 21:13:55
Ariana,24.0,78,1021,1.03,0,2025-09-15 21:13:55
Ben Arous,23.6,58,1021,1.28,0,2025-09-15 21:13:55
Manouba,26.57,55,1021,1.42,0,2025-09-15 21:13:55
Nabeul,25.71,67,1021,1.63,0,2025-09-15 21:13:55
Zaghouan,24.84,55,1021,1.87,0,2025-09-15 21:13:55
Bizerte,25.15,66,1020,1.53,0,2025-09-15 21:13:55
Beja,26.87,49,1021,1.53,0,2025-09-15 21:13:55
Jendouba,25.41,49,1021,0.87,0,2025-09-15 21:13:56
Kef,26.05,35,1021,2.29,0,2025-09-15 21:13:56
Siliana,23.9,44,1022,3.11,0,2025-09-15 21:13:56
Kasserine,25.61,48,1022,3.46,0,2025-09-15 21:13:56
Sidi Bouzid,25.73,59,1021,3.08,0,2025-09-15 21:13:56
Kairouan,28.01,41,1021,2.04,0,2025-09-15 21:13:56
Kébili,27.61,43,1019,5.26,0,2025-09-15 21:13:56
Tozeur,29.58,35,1019,6.4,0,2025-09-15 21:13:56
Gabès,26.33,64,1020,4.73,0,2025-09-15 21:13:56
Medenine,25.69,70,1020,2.93,0,2025-09-15 21:13:56
Tataouine,26.83,43,1019,8.15,0,2025-09-15 21:13:56
Mahdia,25.67,64,1021,1.99,0,2025-09-15 21:13:56
Monastir,26.91,74,1021,1.03,0,2025-09-15 21:13:57
Sousse,26.97,74,1021,1.03,0,2025-09-15 21:13:57
Sfax,27.1,54,1021,2.44,0,2025-09-15 21:13:57
Gafsa,27.26,48,1021,2.98,0,2025-09-15 21:13:57
