city,temperature,humidity,pressure,wind,precipitation,date
Tunis,32.99,33,1015,1.54,0,2025-07-01 10:19:00
Ariana,33.0,33,1015,1.54,0,2025-07-01 10:19:00
Ben Arous,32.6,30,1015,1.76,0,2025-07-01 10:19:00
Manouba,34.51,26,1015,2.35,0,2025-07-01 10:19:00
Nabeul,29.52,48,1015,3.63,0,2025-07-01 10:19:00
Zaghouan,31.7,28,1015,2.78,0,2025-07-01 10:19:00
Bizerte,29.23,50,1015,4.91,0,2025-07-01 10:19:00
Beja,34.0,26,1015,2.43,0,2025-07-01 10:19:00
Jendouba,35.89,21,1015,1.39,0,2025-07-01 10:19:00
Kef,32.26,24,1015,1.1,0,2025-07-01 10:19:01
Siliana,30.27,24,1016,1.23,0,2025-07-01 10:19:01
Kasserine,31.08,28,1016,2.48,0,2025-07-01 10:19:01
Sidi Bouzid,32.04,28,1016,2.84,0,2025-07-01 10:19:01
Kairouan,33.36,28,1015,2.07,0,2025-07-01 10:19:01
Kébili,33.56,24,1014,4.8,0,2025-07-01 10:19:01
Tozeur,34.25,29,1015,5.66,0,2025-07-01 10:19:01
Gabès,31.99,37,1015,5.14,0,2025-07-01 10:19:01
Medenine,31.75,40,1015,4.22,0,2025-07-01 10:19:01
Tataouine,33.55,28,1014,4.09,0,2025-07-01 10:19:01
Mahdia,31.51,39,1015,4.14,0,2025-07-01 10:19:01
Monastir,29.91,51,1015,3.09,0,2025-07-01 10:19:01
Sousse,29.97,51,1015,3.09,0,2025-07-01 10:19:01
Sfax,32.08,43,1016,3.09,0,2025-07-01 10:19:01
Gafsa,34.13,26,1015,1.54,0,2025-07-01 10:19:01
