city,temperature,humidity,pressure,wind,precipitation,date
Tunis,25.12,30,1012,2.65,0,2026-07-09 04:49:59
Ariana,23.67,38,1012,2.52,0,2026-07-09 04:49:59
Ben Arous,24.66,29,1013,2.62,0,2026-07-09 04:49:59
Manouba,23.57,31,1013,2.98,0,2026-07-09 04:49:59
Nabeul,25.05,40,1012,3.08,0,2026-07-09 04:49:59
Zaghouan,23.23,25,1013,2.19,0,2026-07-09 04:50:00
Bizerte,25.18,67,1012,6.51,0,2026-07-09 04:50:00
Beja,23.36,30,1013,1.96,0,2026-07-09 04:50:00
Jendouba,22.82,30,1014,1.36,0,2026-07-09 04:50:00
Kef,23.06,26,1015,2.1,0,2026-07-09 04:50:00
Siliana,22.58,23,1015,2.16,0,2026-07-09 04:50:00
Kasserine,24.61,22,1015,2.19,0,2026-07-09 04:50:00
Sidi Bouzid,25.34,42,1013,1.22,0,2026-07-09 04:50:00
Kairouan,27.18,39,1012,1.44,0,2026-07-09 04:50:00
Kébili,26.25,28,1013,1.74,0,2026-07-09 04:50:00
Tozeur,28.06,30,1012,4.41,0,2026-07-09 04:50:00
Gabès,26.46,49,1013,1.91,0,2026-07-09 04:50:00
Medenine,25.45,43,1013,0.5,0,2026-07-09 04:50:00
Tataouine,26.56,27,1013,3.27,0,2026-07-09 04:50:00
Mahdia,25.94,48,1012,3.3,0,2026-07-09 04:50:00
Monastir,27.56,49,1012,2.57,0,2026-07-09 04:50:00
Sousse,27.64,44,1012,2.28,0,2026-07-09 04:50:00
Sfax,27.79,46,1012,2.06,0,2026-07-09 04:50:00
Gafsa,25.68,33,1013,1.89,0,2026-07-09 04:50:00
