city,temperature,humidity,pressure,wind,precipitation,date
Tunis,29.99,54,1019,7.2,0,2025-06-28 09:17:00
Ariana,30.0,54,1020,7.2,0,2025-06-28 09:17:00
Ben Arous,29.6,34,1019,7.76,0,2025-06-28 09:17:00
Manouba,31.48,36,1020,7.68,0,2025-06-28 09:17:00
Nabeul,30.35,46,1019,11.85,0,2025-06-28 09:17:00
Zaghouan,29.91,35,1020,10.73,0,2025-06-28 09:17:00
Bizerte,26.32,69,1020,9.79,0,2025-06-28 09:17:00
Beja,30.06,37,1021,6.92,0,2025-06-28 09:17:00
Jendouba,29.25,37,1022,7.03,0,2025-06-28 09:17:00
Kef,27.71,36,1022,3.95,0,2025-06-28 09:17:00
Siliana,26.3,41,1021,7.37,0,2025-06-28 09:17:00
Kasserine,29.88,24,1021,8.14,0,2025-06-28 09:17:00
Sidi Bouzid,32.83,20,1019,6.71,0,2025-06-28 09:17:00
Kairouan,33.6,26,1019,9.68,0,2025-06-28 09:17:00
Kébili,33.91,29,1019,5.35,0,2025-06-28 09:17:00
Tozeur,34.25,38,1019,1.54,0,2025-06-28 09:17:00
Gabès,31.99,40,1019,5.66,0,2025-06-28 09:17:00
Medenine,30.7,44,1018,6.84,0,2025-06-28 09:17:00
Tataouine,31.67,31,1018,6.56,0,2025-06-28 09:17:00
Mahdia,29.64,51,1018,10.95,0,2025-06-28 09:17:00
Monastir,28.91,65,1019,7.2,0,2025-06-28 09:17:00
Sousse,28.97,65,1019,7.2,0,2025-06-28 09:17:00
Sfax,33.08,38,1018,6.17,0,2025-06-28 09:17:00
Gafsa,33.13,24,1019,4.63,0,2025-06-28 09:17:00
