city,temperature,humidity,pressure,wind,precipitation,date
Tunis,12.99,100,1023,0.0,0,2026-03-08 06:38:53
Ariana,13.0,100,1023,0.0,0,2026-03-08 06:38:53
Ben Arous,12.6,90,1023,1.22,0,2026-03-08 06:38:53
Manouba,11.85,90,1023,0.94,0,2026-03-08 06:38:53
Nabeul,14.74,91,1023,5.02,0,2026-03-08 06:38:53
Zaghouan,11.15,94,1023,1.39,0,2026-03-08 06:38:53
Bizerte,10.99,100,1023,0.0,0,2026-03-08 06:38:53
Beja,10.89,88,1023,1.21,0,2026-03-08 06:38:53
Jendouba,9.13,85,1022,1.52,0,2026-03-08 06:38:53
Kef,10.49,73,1022,1.26,0,2026-03-08 06:38:53
Siliana,9.71,80,1022,1.78,0,2026-03-08 06:38:53
Kasserine,11.06,74,1022,2.72,0,2026-03-08 06:38:53
Sidi Bouzid,11.62,91,1022,5.31,0,2026-03-08 06:38:53
Kairouan,14.01,94,1022,1.54,0,2026-03-08 06:38:53
Kébili,13.77,82,1020,6.37,0,2026-03-08 06:38:53
Tozeur,12.25,94,1020,2.06,0,2026-03-08 06:38:53
Gabès,14.99,88,1020,6.17,0,2026-03-08 06:38:53
Medenine,15.45,90,1018,5.72,0,2026-03-08 06:38:53
Tataouine,13.37,75,1018,5.0,0,2026-03-08 06:38:53
Mahdia,15.09,87,1021,6.61,0,2026-03-08 06:38:53
Monastir,14.91,94,1022,5.14,0,2026-03-08 06:38:54
Sousse,14.97,94,1022,5.14,0,2026-03-08 06:38:54
Sfax,15.05,89,1021,6.72,0,2026-03-08 06:38:54
Gafsa,12.13,87,1021,8.75,0,2026-03-08 06:38:54
