city,temperature,humidity,pressure,wind,precipitation,date
Tunis,21.99,56,1022,1.03,0,2025-11-05 10:19:19
Ariana,22.0,56,1022,1.03,0,2025-11-05 10:19:19
Ben Arous,21.6,46,1022,0.83,0,2025-11-05 10:19:19
Manouba,20.35,46,1022,1.74,0,2025-11-05 10:19:19
Nabeul,19.96,59,1022,0.84,0,2025-11-05 10:19:19
Zaghouan,18.54,50,1022,1.4,0,2025-11-05 10:19:19
Bizerte,20.99,60,1022,1.54,0,2025-11-05 10:19:19
Beja,19.83,55,1022,2.27,0,2025-11-05 10:19:20
Jendouba,19.93,54,1022,2.06,0,2025-11-05 10:19:20
Kef,18.79,51,1022,2.18,0,2025-11-05 10:19:20
Siliana,17.65,52,1022,0.59,0,2025-11-05 10:19:20
Kasserine,18.52,60,1022,2.99,0,2025-11-05 10:19:20
Sidi Bouzid,20.15,56,1022,1.96,0,2025-11-05 10:19:20
Kairouan,22.01,53,1022,1.03,0,2025-11-05 10:19:20
Kébili,21.88,52,1022,2.64,0,2025-11-05 10:19:20
Tozeur,24.25,53,1022,1.54,0,2025-11-05 10:19:20
Gabès,22.99,53,1022,3.09,0,2025-11-05 10:19:20
Medenine,22.28,54,1022,1.46,0,2025-11-05 10:19:20
Tataouine,22.84,44,1021,4.6,0,2025-11-05 10:19:21
Mahdia,21.49,50,1022,2.93,0,2025-11-05 10:19:21
Monastir,20.91,68,1022,3.6,0,2025-11-05 10:19:21
Sousse,20.97,68,1022,3.6,0,2025-11-05 10:19:21
Sfax,23.08,56,1022,1.54,0,2025-11-05 10:19:21
Gafsa,22.13,53,1022,2.57,0,2025-11-05 10:19:21
