city,temperature,humidity,pressure,wind,precipitation,date
Tunis,30.99,40,1014,9.77,0,2025-07-27 13:28:35
Ariana,31.0,40,1014,9.77,0,2025-07-27 13:28:35
Ben Arous,30.6,39,1014,8.85,0,2025-07-27 13:28:35
Manouba,30.25,42,1015,9.14,0,2025-07-27 13:28:35
Nabeul,30.4,42,1014,11.29,0,2025-07-27 13:28:35
Zaghouan,28.85,34,1014,10.01,0,2025-07-27 13:28:35
Bizerte,28.99,61,1015,9.77,0,2025-07-27 13:28:36
Beja,29.1,43,1016,8.93,0,2025-07-27 13:28:36
Jendouba,28.35,42,1017,8.18,0,2025-07-27 13:28:36
Kef,28.33,27,1016,6.73,0,2025-07-27 13:28:36
Siliana,26.79,31,1016,8.88,0,2025-07-27 13:28:36
Kasserine,30.21,21,1016,7.39,0,2025-07-27 13:28:36
Sidi Bouzid,32.92,20,1014,6.15,0,2025-07-27 13:28:36
Kairouan,34.01,24,1013,2.06,0,2025-07-27 13:28:36
Kébili,35.44,23,1013,6.0,0,2025-07-27 13:28:36
Tozeur,35.25,26,1013,1.54,0,2025-07-27 13:28:36
Gabès,31.99,31,1015,6.17,0,2025-07-27 13:28:36
Medenine,30.81,39,1015,7.39,0,2025-07-27 13:28:36
Tataouine,36.62,24,1012,7.15,0,2025-07-27 13:28:36
Mahdia,29.96,44,1014,6.87,0,2025-07-27 13:28:36
Monastir,30.91,48,1014,6.17,0,2025-07-27 13:28:36
Sousse,30.97,48,1014,6.17,0,2025-07-27 13:28:36
Sfax,31.08,48,1014,6.17,0,2025-07-27 13:28:37
Gafsa,34.13,24,1016,1.54,0,2025-07-27 13:28:37
