city,temperature,humidity,pressure,wind,precipitation,date
Tunis,19.99,68,1010,2.57,0.0,2025-11-08 19:12:02
Ariana,20.0,68,1010,2.57,0.0,2025-11-08 19:12:02
Ben Arous,19.6,69,1010,3.44,0.0,2025-11-08 19:12:02
Manouba,16.53,60,1010,2.37,0.0,2025-11-08 19:12:02
Nabeul,20.23,70,1011,9.62,0.5,2025-11-08 19:12:02
Zaghouan,16.97,57,1011,4.76,0.0,2025-11-08 19:12:02
Bizerte,16.99,82,1011,4.12,0.0,2025-11-08 19:12:02
Beja,16.57,55,1010,1.64,0.0,2025-11-08 19:12:02
Jendouba,18.13,70,1011,3.51,0.14,2025-11-08 19:12:02
Kef,17.14,43,1010,3.47,0.0,2025-11-08 19:12:02
Siliana,14.72,58,1011,5.29,0.0,2025-11-08 19:12:02
Kasserine,15.27,51,1012,5.57,0.0,2025-11-08 19:12:02
Sidi Bouzid,18.49,41,1012,5.47,0.0,2025-11-08 19:12:02
Kairouan,20.01,49,1011,2.06,0.0,2025-11-08 19:12:02
Kébili,20.29,31,1014,4.0,0.0,2025-11-08 19:12:02
Tozeur,19.25,42,1013,4.63,0.0,2025-11-08 19:12:03
Gabès,18.99,37,1013,4.12,0.0,2025-11-08 19:12:03
Medenine,20.97,32,1014,3.7,0.0,2025-11-08 19:12:03
Tataouine,19.84,33,1015,2.92,0.0,2025-11-08 19:12:03
Mahdia,19.9,70,1012,5.95,0.0,2025-11-08 19:12:03
Monastir,19.91,73,1012,4.12,0.0,2025-11-08 19:12:03
Sousse,19.97,73,1011,4.12,0.0,2025-11-08 19:12:03
Sfax,19.08,63,1012,2.06,0.0,2025-11-08 19:12:03
Gafsa,18.13,55,1013,6.17,0.0,2025-11-08 19:12:03
