city,temperature,humidity,pressure,wind,precipitation,date
Tunis,13.99,88,1002,4.63,0,2026-02-05 06:55:02
Ariana,14.0,88,1002,4.63,0,2026-02-05 06:55:02
Ben Arous,13.6,81,1002,2.34,0,2026-02-05 06:55:02
Manouba,13.25,81,1002,3.07,0,2026-02-05 06:55:02
Nabeul,13.44,81,1002,3.42,0,2026-02-05 06:55:02
Zaghouan,10.28,81,1003,2.09,0,2026-02-05 06:55:02
Bizerte,14.99,88,1002,8.23,0,2026-02-05 06:55:02
Beja,11.86,86,1002,2.7,0,2026-02-05 06:55:02
Jendouba,11.11,86,1003,1.91,0,2026-02-05 06:55:02
Kef,11.28,82,1003,3.37,0,2026-02-05 06:55:02
Siliana,11.01,75,1003,4.35,0,2026-02-05 06:55:02
Kasserine,11.88,79,1004,5.67,0,2026-02-05 06:55:03
Sidi Bouzid,13.07,76,1004,7.88,0,2026-02-05 06:55:03
Kairouan,13.01,76,1003,2.06,0,2026-02-05 06:55:03
Kébili,16.03,49,1007,5.71,0,2026-02-05 06:55:03
Tozeur,13.25,71,1006,4.12,0,2026-02-05 06:55:03
Gabès,17.99,39,1005,7.72,0,2026-02-05 06:55:03
Medenine,18.64,41,1006,9.04,0,2026-02-05 06:55:03
Tataouine,14.76,39,1010,4.59,0,2026-02-05 06:55:03
Mahdia,14.74,67,1003,2.01,0,2026-02-05 06:55:03
Monastir,11.91,87,1003,2.06,0,2026-02-05 06:55:03
Sousse,11.97,87,1003,2.06,0,2026-02-05 06:55:03
Sfax,17.08,59,1004,3.09,0,2026-02-05 06:55:03
Gafsa,11.13,76,1005,4.63,0,2026-02-05 06:55:03
