city,temperature,humidity,pressure,wind,precipitation,date
Tunis,13.99,72,1027,4.63,0.0,2026-02-21 18:31:15
Ariana,14.0,72,1027,4.63,0.0,2026-02-21 18:31:15
Ben Arous,13.6,79,1027,6.04,0.0,2026-02-21 18:31:15
Manouba,11.43,75,1027,7.13,0.0,2026-02-21 18:31:15
Nabeul,12.4,79,1026,12.82,0.0,2026-02-21 18:31:16
Zaghouan,8.68,85,1028,8.83,0.0,2026-02-21 18:31:16
Bizerte,13.99,77,1027,9.77,0.0,2026-02-21 18:31:16
Beja,10.34,87,1028,8.09,0.0,2026-02-21 18:31:16
Jendouba,12.13,91,1029,7.76,0.12,2026-02-21 18:31:16
Kef,6.15,90,1030,2.69,0.0,2026-02-21 18:31:16
Siliana,6.38,94,1029,6.96,0.0,2026-02-21 18:31:16
Kasserine,8.52,72,1028,8.88,0.0,2026-02-21 18:31:16
Sidi Bouzid,11.89,63,1028,4.27,0.0,2026-02-21 18:31:16
Kairouan,15.01,55,1027,1.03,0.0,2026-02-21 18:31:16
Kébili,15.95,31,1028,3.73,0.0,2026-02-21 18:31:16
Tozeur,16.25,31,1028,4.63,0.0,2026-02-21 18:31:16
Gabès,17.99,29,1027,3.09,0.0,2026-02-21 18:31:16
Medenine,15.13,45,1027,2.03,0.0,2026-02-21 18:31:16
Tataouine,13.56,34,1028,4.37,0.0,2026-02-21 18:31:16
Mahdia,13.55,73,1027,9.48,0.0,2026-02-21 18:31:16
Monastir,14.91,67,1027,7.2,0.0,2026-02-21 18:31:16
Sousse,14.97,67,1027,7.2,0.0,2026-02-21 18:31:16
Sfax,16.08,51,1027,5.14,0.0,2026-02-21 18:31:16
Gafsa,15.13,44,1028,5.66,0.0,2026-02-21 18:31:16
