city,temperature,humidity,pressure,wind,precipitation,date
Tunis,13.99,77,1016,3.6,0.11,2025-12-31 16:22:31
Ariana,14.0,77,1015,3.6,0.26,2025-12-31 16:22:31
Ben Arous,13.6,68,1016,3.5,0.0,2025-12-31 16:22:31
Manouba,12.6,71,1016,4.54,0.0,2025-12-31 16:22:31
Nabeul,14.47,67,1016,3.95,0.11,2025-12-31 16:22:31
Zaghouan,12.37,58,1016,4.35,0.0,2025-12-31 16:22:31
Bizerte,12.99,94,1015,1.54,0.44,2025-12-31 16:22:31
Beja,11.58,76,1016,4.48,0.0,2025-12-31 16:22:32
Jendouba,13.13,85,1017,4.37,0.15,2025-12-31 16:22:32
Kef,10.32,61,1016,4.23,0.0,2025-12-31 16:22:32
Siliana,9.37,65,1016,4.5,0.0,2025-12-31 16:22:32
Kasserine,11.42,50,1016,2.23,0.0,2025-12-31 16:22:32
Sidi Bouzid,13.86,45,1016,3.18,0.0,2025-12-31 16:22:32
Kairouan,16.01,51,1016,1.03,0.0,2025-12-31 16:22:32
Kébili,14.25,49,1017,3.7,0.0,2025-12-31 16:22:32
Tozeur,13.25,67,1017,2.57,0.0,2025-12-31 16:22:32
Gabès,14.99,58,1017,5.14,0.0,2025-12-31 16:22:32
Medenine,15.47,42,1017,2.42,0.0,2025-12-31 16:22:32
Tataouine,12.98,50,1018,2.77,0.0,2025-12-31 16:22:32
Mahdia,15.06,62,1016,2.84,0.37,2025-12-31 16:22:32
Monastir,14.91,72,1016,0.0,0.7,2025-12-31 16:22:32
Sousse,14.97,72,1016,0.0,0.32,2025-12-31 16:22:32
Sfax,17.08,45,1016,2.06,0.0,2025-12-31 16:22:32
Gafsa,14.13,54,1017,5.14,0.0,2025-12-31 16:22:33
