city,temperature,humidity,pressure,wind,precipitation,date
Tunis,13.99,77,1011,9.26,0.0,2026-02-01 11:19:24
Ariana,14.0,77,1011,9.26,0.0,2026-02-01 11:19:24
Ben Arous,13.6,70,1011,9.96,0.0,2026-02-01 11:19:24
Manouba,13.48,72,1011,9.87,0.25,2026-02-01 11:19:24
Nabeul,14.22,66,1010,14.63,0.0,2026-02-01 11:19:24
Zaghouan,11.83,68,1011,13.18,0.13,2026-02-01 11:19:24
Bizerte,15.99,72,1011,10.29,0.11,2026-02-01 11:19:24
Beja,12.64,78,1012,9.53,0.15,2026-02-01 11:19:24
Jendouba,11.05,85,1013,9.53,0.24,2026-02-01 11:19:25
Kef,10.37,63,1014,8.27,0.19,2026-02-01 11:19:25
Siliana,8.49,71,1013,11.74,0.0,2026-02-01 11:19:25
Kasserine,11.12,49,1014,9.99,0.0,2026-02-01 11:19:25
Sidi Bouzid,14.28,42,1014,9.19,0.0,2026-02-01 11:19:25
Kairouan,16.01,51,1012,3.09,0.0,2026-02-01 11:19:25
Kébili,15.23,36,1017,4.81,0.0,2026-02-01 11:19:25
Tozeur,16.25,44,1016,4.12,0.0,2026-02-01 11:19:25
Gabès,15.72,40,1015,9.81,0.0,2026-02-01 11:19:25
Medenine,16.14,39,1014,11.44,0.0,2026-02-01 11:19:25
Tataouine,13.54,38,1017,6.69,0.0,2026-02-01 11:19:25
Mahdia,15.18,58,1011,13.42,0.0,2026-02-01 11:19:25
Monastir,15.91,63,1011,6.69,0.0,2026-02-01 11:19:25
Sousse,15.97,63,1011,6.69,0.0,2026-02-01 11:19:25
Sfax,17.08,42,1012,7.2,0.0,2026-02-01 11:19:25
Gafsa,15.13,44,1015,5.14,0.0,2026-02-01 11:19:25
