city,temperature,humidity,pressure,wind,precipitation,date
Tunis,27.99,39,1018,0.0,0,2025-06-23 22:16:49
Ariana,28.0,39,1018,0.0,0,2025-06-23 22:16:49
Ben Arous,27.6,43,1018,1.98,0,2025-06-23 22:16:49
Manouba,27.02,41,1018,0.34,0,2025-06-23 22:16:49
Nabeul,24.7,69,1018,2.77,0,2025-06-23 22:16:49
Zaghouan,24.14,47,1019,2.16,0,2025-06-23 22:16:49
Bizerte,24.73,68,1018,2.22,0,2025-06-23 22:16:49
Beja,26.66,42,1018,2.0,0,2025-06-23 22:16:49
Jendouba,24.09,45,1019,1.04,0,2025-06-23 22:16:49
Kef,24.34,41,1019,2.41,0,2025-06-23 22:16:49
Siliana,24.11,33,1019,3.45,0,2025-06-23 22:16:49
Kasserine,25.18,39,1019,4.44,0,2025-06-23 22:16:49
Sidi Bouzid,25.8,50,1018,4.56,0,2025-06-23 22:16:49
Kairouan,27.99,39,1018,3.53,0,2025-06-23 22:16:49
Kébili,31.46,18,1016,4.14,0,2025-06-23 22:16:49
Tozeur,32.25,27,1016,3.09,0,2025-06-23 22:16:49
Gabès,27.99,39,1017,3.6,0,2025-06-23 22:16:49
Medenine,26.15,52,1018,3.54,0,2025-06-23 22:16:49
Tataouine,27.3,34,1017,6.34,0,2025-06-23 22:16:49
Mahdia,25.84,66,1018,3.47,0,2025-06-23 22:16:49
Monastir,27.91,61,1018,1.54,0,2025-06-23 22:16:49
Sousse,27.97,61,1018,1.54,0,2025-06-23 22:16:50
Sfax,27.08,65,1018,3.09,0,2025-06-23 22:16:50
Gafsa,30.13,35,1018,5.14,0,2025-06-23 22:16:50
