city,temperature,humidity,pressure,wind,precipitation,date
Tunis,18.99,77,1011,9.26,0,2025-04-13 20:15:58
Ariana,19.0,77,1010,9.26,0,2025-04-13 20:15:58
Ben Arous,18.6,80,1012,4.51,0,2025-04-13 20:15:58
Manouba,20.2,60,1010,3.65,0,2025-04-13 20:15:58
Nabeul,17.1,87,1013,8.2,0,2025-04-13 20:15:58
Zaghouan,16.79,75,1012,2.92,0,2025-04-13 20:15:58
Bizerte,18.99,88,1010,7.72,0,2025-04-13 20:15:58
Beja,21.9,43,1010,0.71,0,2025-04-13 20:15:58
Jendouba,20.13,36,1010,2.47,0,2025-04-13 20:15:58
Kef,21.7,33,1011,2.78,0,2025-04-13 20:15:58
Siliana,19.59,46,1012,3.97,0,2025-04-13 20:15:58
Kasserine,22.05,42,1012,3.23,0,2025-04-13 20:15:58
Sidi Bouzid,22.32,50,1011,3.24,0,2025-04-13 20:15:58
Kairouan,21.64,56,1012,5.87,0,2025-04-13 20:15:58
Kébili,31.91,14,1007,5.13,0,2025-04-13 20:15:58
Tozeur,29.25,34,1007,9.26,0,2025-04-13 20:15:58
Gabès,23.99,53,1009,5.14,0,2025-04-13 20:15:58
Medenine,30.06,21,1011,6.29,0,2025-04-13 20:15:58
Tataouine,31.13,14,1010,8.39,0,2025-04-13 20:15:58
Mahdia,18.96,74,1013,6.58,0,2025-04-13 20:15:58
Monastir,19.91,77,1013,3.09,0,2025-04-13 20:15:58
Sousse,19.97,77,1013,3.09,0,2025-04-13 20:15:58
Sfax,20.73,68,1012,4.58,0,2025-04-13 20:15:58
Gafsa,26.13,41,1009,4.12,0,2025-04-13 20:15:58
