city,temperature,humidity,pressure,wind,precipitation,date
Tunis,16.99,63,1005,6.17,0,2026-01-23 12:41:08
Ariana,17.0,63,1005,6.17,0,2026-01-23 12:41:08
Ben Arous,16.6,54,1006,5.47,0,2026-01-23 12:41:08
Manouba,15.7,52,1005,5.44,0,2026-01-23 12:41:08
Nabeul,15.69,59,1006,7.31,0,2026-01-23 12:41:08
Zaghouan,14.14,46,1006,5.8,0,2026-01-23 12:41:08
Bizerte,16.99,63,1005,8.75,0,2026-01-23 12:41:08
Beja,14.98,49,1005,4.36,0,2026-01-23 12:41:08
Jendouba,16.13,46,1005,2.21,0,2026-01-23 12:41:08
Kef,12.76,38,1005,5.1,0,2026-01-23 12:41:08
Siliana,12.11,38,1005,6.91,0,2026-01-23 12:41:08
Kasserine,13.22,33,1006,5.81,0,2026-01-23 12:41:09
Sidi Bouzid,15.16,35,1007,6.04,0,2026-01-23 12:41:09
Kairouan,18.01,39,1006,3.09,0,2026-01-23 12:41:09
Kébili,16.32,42,1010,8.03,0,2026-01-23 12:41:09
Tozeur,15.25,55,1009,5.66,0,2026-01-23 12:41:09
Gabès,15.99,55,1009,6.69,0,2026-01-23 12:41:09
Medenine,18.07,29,1009,8.77,0,2026-01-23 12:41:09
Tataouine,15.28,41,1012,8.03,0,2026-01-23 12:41:09
Mahdia,16.74,46,1007,4.97,0,2026-01-23 12:41:09
Monastir,16.91,48,1006,5.66,0,2026-01-23 12:41:09
Sousse,16.97,48,1006,5.66,0,2026-01-23 12:41:09
Sfax,18.08,42,1007,4.63,0,2026-01-23 12:41:09
Gafsa,14.13,62,1008,4.63,0,2026-01-23 12:41:09
